interview,model,note_file,strict_f1,lenient_f1,rouge1_f1,rouge2_f1,rougeL_f1,sari,bertscore_f1,medcon
New Recording 32,gemma3_4b,New Recording 32_gemma3_4b.txt,0.03703703703703704,0.03703703703703704,0.042808219178082196,0.0034305317324185253,0.029109589041095896,1.0,0.7867537140846252,0.2
New Recording 32,llama3.2_3b,New Recording 32_llama3.2_3b.txt,0.25637910085054677,0.25637910085054677,0.26799714896650034,0.08993576017130621,0.15680684248039917,1.0,0.7875931262969971,0.5333333333333333
New Recording 32,deepseek-r1,New Recording 32_deepseek-r1.txt,0.1904198698994678,0.1904198698994678,0.19610670511896178,0.044765342960288806,0.10958904109589042,1.0,0.7759353518486023,0.42857142857142855
New Recording 32,qwen2.5_3b,New Recording 32_qwen2.5_3b.txt,0.30127462340672073,0.30127462340672073,0.31241473396998637,0.09562841530054644,0.13778990450204637,1.0,0.7932244539260864,0.7777777777777777
New Recording 29,deepseek-r1,New Recording 29_deepseek-r1.txt,0.2501313715186548,0.2501313715186548,0.22868217054263568,0.06080206985769728,0.11498708010335919,1.0,0.7675438523292542,0.8571428571428571
New Recording 29,qwen2.5_3b,New Recording 29_qwen2.5_3b.txt,0.2993762993762994,0.2993762993762994,0.3032178217821782,0.09541511771995043,0.14603960396039603,1.0,0.7886922359466553,0.6153846153846153
New Recording 29,llama3.2_3b,New Recording 29_llama3.2_3b.txt,0.24015748031496065,0.24015748031496065,0.2528301886792453,0.06926952141057935,0.14088050314465408,1.0,0.7742725014686584,0.6153846153846153
New Recording 29,gemma3_4b,New Recording 29_gemma3_4b.txt,0.18811309867282172,0.18811309867282172,0.20194986072423396,0.07252440725244072,0.1309192200557103,1.0,0.7691648602485657,0.6
New Recording 34,gemma3_4b,New Recording 34_gemma3_4b.txt,0.2713178294573643,0.2713178294573643,0.2893081761006289,0.10708661417322833,0.18553459119496857,1.0,0.7728277444839478,0.625
New Recording 34,llama3.2_3b,New Recording 34_llama3.2_3b.txt,0.2901353965183752,0.2901353965183752,0.31491294473883424,0.12282031842304776,0.20439061317183954,1.0,0.7933434247970581,0.5333333333333333
New Recording 34,deepseek-r1,New Recording 34_deepseek-r1.txt,0.23506493506493503,0.23506493506493503,0.2664526484751204,0.10289389067524117,0.1492776886035313,1.0,0.7765921354293823,0.7142857142857143
New Recording 34,qwen2.5_3b,New Recording 34_qwen2.5_3b.txt,0.22627737226277375,0.22627737226277375,0.22731128074639526,0.08836023789294818,0.12722646310432567,1.0,0.7851902842521667,0.5454545454545454
New Recording 36,llama3.2_3b,New Recording 36_llama3.2_3b.txt,0.28089887640449435,0.28089887640449435,0.2869692532942899,0.11143695014662755,0.16251830161054176,1.0,0.789034366607666,0.823529411764706
New Recording 36,qwen2.5_3b,New Recording 36_qwen2.5_3b.txt,0.16149068322981366,0.16149068322981366,0.1887713588283157,0.07334963325183373,0.12042310821806347,1.0,0.7806050181388855,0.7999999999999999
New Recording 36,gemma3_4b,New Recording 36_gemma3_4b.txt,0.26717076244486454,0.26717076244486454,0.2831050228310502,0.12804878048780488,0.1856925418569254,1.0,0.7835952639579773,0.7058823529411765
New Recording 36,deepseek-r1,New Recording 36_deepseek-r1.txt,0.13175230566534915,0.13175230566534915,0.1347233360064154,0.017670682730923697,0.0673616680032077,1.0,0.775113046169281,0.5714285714285715
New Recording 30,deepseek-r1,New Recording 30_deepseek-r1.txt,0.2348484848484849,0.2348484848484849,0.20314547837483618,0.03674540682414698,0.10484927916120575,1.0,0.7684779167175293,0.5333333333333333
New Recording 30,qwen2.5_3b,New Recording 30_qwen2.5_3b.txt,0.2896846606092998,0.2896846606092998,0.29493670886075946,0.08365019011406845,0.13670886075949368,1.0,0.7896100878715515,0.5
New Recording 30,gemma3_4b,New Recording 30_gemma3_4b.txt,0.25473684210526315,0.25473684210526315,0.25145819831497085,0.08176508760545101,0.14906027219701878,1.0,0.773078441619873,0.7777777777777778
New Recording 30,llama3.2_3b,New Recording 30_llama3.2_3b.txt,0.20962199312714774,0.20962199312714774,0.22010869565217392,0.0653061224489796,0.12092391304347827,1.0,0.7880198359489441,0.588235294117647
New Recording 25,qwen2.5_3b,New Recording 25_qwen2.5_3b.txt,0.23431265868697862,0.23431265868697862,0.23805460750853244,0.0708795900939368,0.10153583617747439,1.0,0.7877092957496643,0.5454545454545454
New Recording 25,deepseek-r1,New Recording 25_deepseek-r1.txt,0.0540091400083091,0.0540091400083091,0.05666829506595017,0.003911980440097799,0.02931118710307767,1.0,0.7751576900482178,0.0
New Recording 25,gemma3_4b,New Recording 25_gemma3_4b.txt,0.05748098055790364,0.05748098055790364,0.053491827637444284,0.012890431333663858,0.033680039623576026,1.0,0.797743558883667,0.3333333333333333
New Recording 25,llama3.2_3b,New Recording 25_llama3.2_3b.txt,0.16744186046511628,0.16744186046511628,0.18645558487247144,0.045774647887323945,0.10554089709762533,1.0,0.7825969457626343,0.6
New Recording 27,deepseek-r1,New Recording 27_deepseek-r1.txt,0.17680826636050517,0.17680826636050517,0.18802228412256267,0.03626220362622037,0.06406685236768803,1.0,0.7786219716072083,0.42857142857142855
New Recording 27,qwen2.5_3b,New Recording 27_qwen2.5_3b.txt,0.20888632429313325,0.20888632429313325,0.22558459422283356,0.048209366391184574,0.1017881705639615,1.0,0.7939370274543762,0.4615384615384615
New Recording 27,llama3.2_3b,New Recording 27_llama3.2_3b.txt,0.22184493491794005,0.22184493491794005,0.2398401065956029,0.061374249499666446,0.1279147235176549,1.0,0.7858961820602417,0.6250000000000001
New Recording 27,gemma3_4b,New Recording 27_gemma3_4b.txt,0.1869047619047619,0.1869047619047619,0.1992831541218638,0.0890165111270639,0.13476702508960572,1.0,0.7762909531593323,0.3333333333333333
New Recording 33,deepseek-r1,New Recording 33_deepseek-r1.txt,0.25519713261648747,0.25519713261648747,0.24352331606217617,0.04325259515570934,0.12435233160621763,1.0,0.7890700697898865,0.7999999999999999
New Recording 33,qwen2.5_3b,New Recording 33_qwen2.5_3b.txt,0.2874913614374568,0.2874913614374568,0.2783761391880696,0.05145228215767635,0.09610604805302404,1.0,0.7967734336853027,0.3333333333333333
New Recording 33,gemma3_4b,New Recording 33_gemma3_4b.txt,0.06104129263913824,0.06104129263913824,0.05555555555555555,0.004282655246252676,0.03846153846153847,1.0,0.7662501931190491,0.0
New Recording 33,llama3.2_3b,New Recording 33_llama3.2_3b.txt,0.32145015105740177,0.32145015105740177,0.3187250996015936,0.08300079808459697,0.1593625498007968,1.0,0.7950835824012756,0.6250000000000001
New Recording 41,deepseek-r1,New Recording 41_deepseek-r1.txt,0.23320158102766797,0.23320158102766797,0.22115384615384612,0.041733547351524874,0.10576923076923077,1.0,0.7822493314743042,0.36363636363636365
New Recording 41,qwen2.5_3b,New Recording 41_qwen2.5_3b.txt,0.3597298956414979,0.3597298956414979,0.32815964523281593,0.09030347890451516,0.15964523281596452,1.0,0.7958788871765137,0.5454545454545454
New Recording 41,gemma3_4b,New Recording 41_gemma3_4b.txt,0.19796215429403202,0.19796215429403202,0.20848056537102472,0.06371681415929205,0.12367491166077739,1.0,0.7810685038566589,0.8571428571428571
New Recording 41,llama3.2_3b,New Recording 41_llama3.2_3b.txt,0.17565485362095531,0.17565485362095531,0.1813236627379873,0.05449591280653951,0.09972801450589301,1.0,0.8012580275535583,0.8571428571428571
New Recording 37,llama3.2_3b,New Recording 37_llama3.2_3b.txt,0.3430656934306569,0.3430656934306569,0.33732317736670286,0.0916030534351145,0.18280739934711646,1.0,0.8010298013687134,0.5
New Recording 37,deepseek-r1,New Recording 37_deepseek-r1.txt,0.22154471544715448,0.22154471544715448,0.2295081967213115,0.05815423514538559,0.11601513240857504,1.0,0.7924923896789551,0.8
New Recording 37,qwen2.5_3b,New Recording 37_qwen2.5_3b.txt,0.3412489006156552,0.3412489006156552,0.2832618025751073,0.06881720430107527,0.14163090128755365,1.0,0.8060077428817749,0.5714285714285715
New Recording 37,gemma3_4b,New Recording 37_gemma3_4b.txt,0.259765625,0.259765625,0.24783147459727384,0.08695652173913043,0.15861214374225527,1.0,0.7811431884765625,0.5714285714285715
New Recording 38,qwen2.5_3b,New Recording 38_qwen2.5_3b.txt,0.34756464221286837,0.34756464221286837,0.3434201266713582,0.10993657505285413,0.1590429275158339,1.0,0.7978821396827698,0.7272727272727272
New Recording 38,llama3.2_3b,New Recording 38_llama3.2_3b.txt,0.24833110814419224,0.24833110814419224,0.27899686520376177,0.1051805337519623,0.15987460815047022,1.0,0.7835158109664917,0.5454545454545454
New Recording 38,deepseek-r1,New Recording 38_deepseek-r1.txt,0.2303110522832561,0.2303110522832561,0.22100313479623823,0.07221350078492936,0.12852664576802508,1.0,0.7754132747650146,0.8000000000000002
New Recording 38,gemma3_4b,New Recording 38_gemma3_4b.txt,0.25668449197860965,0.25668449197860965,0.2682730923694779,0.11423974255832663,0.1493975903614458,1.0,0.7785553932189941,0.5454545454545454
New Recording 26,qwen2.5_3b,New Recording 26_qwen2.5_3b.txt,0.36170896241567624,0.36170896241567624,0.35779122541603636,0.2142316426949281,0.24886535552193645,1.0,0.7972670197486877,0.6666666666666665
New Recording 26,deepseek-r1,New Recording 26_deepseek-r1.txt,0.059654631083202514,0.059654631083202514,0.07434603028912344,0.012861736334405145,0.03763194125745755,1.0,0.7576432228088379,0.26666666666666666
New Recording 26,gemma3_4b,New Recording 26_gemma3_4b.txt,0.1855203619909502,0.1855203619909502,0.20815264527320032,0.08333333333333334,0.12228967909800521,1.0,0.7862651944160461,0.39999999999999997
New Recording 26,llama3.2_3b,New Recording 26_llama3.2_3b.txt,0.20792439113049796,0.20792439113049796,0.2271973466003317,0.07717842323651453,0.1384742951907131,1.0,0.7902820706367493,0.6
New Recording 39,deepseek-r1,New Recording 39_deepseek-r1.txt,0.07087486157253599,0.07087486157253599,0.07891491985203451,0.027194066749072928,0.06411837237977805,1.0,0.793942928314209,0.0
New Recording 39,qwen2.5_3b,New Recording 39_qwen2.5_3b.txt,0.13771186440677965,0.13771186440677965,0.13002364066193853,0.042654028436018954,0.07565011820330969,1.0,0.7899424433708191,0.25
New Recording 39,gemma3_4b,New Recording 39_gemma3_4b.txt,0.22925577416595375,0.22925577416595375,0.2242798353909465,0.0865979381443299,0.15843621399176955,1.0,0.7813138365745544,0.5454545454545454
New Recording 39,llama3.2_3b,New Recording 39_llama3.2_3b.txt,0.3597560975609756,0.3597560975609756,0.2993799822852082,0.08695652173913043,0.15234720992028344,1.0,0.7898622155189514,0.5714285714285715
New Recording 24,deepseek-r1,New Recording 24_deepseek-r1.txt,0.03978887535525781,0.03978887535525781,0.04315196998123827,0.005633802816901408,0.024390243902439025,1.0,0.7705987691879272,0.16666666666666666
New Recording 24,llama3.2_3b,New Recording 24_llama3.2_3b.txt,0.20078881319469344,0.20078881319469344,0.23016202742002495,0.08316008316008315,0.13710012463647694,1.0,0.7821609377861023,0.75
New Recording 24,qwen2.5_3b,New Recording 24_qwen2.5_3b.txt,0.3075349471530856,0.3075349471530856,0.2998405103668262,0.16121308858739028,0.17224880382775118,1.0,0.8007290363311768,0.6666666666666666
New Recording 24,gemma3_4b,New Recording 24_gemma3_4b.txt,0.026017624842635333,0.026017624842635333,0.031067961165048542,0.015549076773566569,0.024271844660194174,1.0,0.7571277022361755,0.2
New Recording 31,llama3.2_3b,New Recording 31_llama3.2_3b.txt,0.3542009884678748,0.3542009884678748,0.32887189292543023,0.09195402298850575,0.18355640535372847,1.0,0.8096618056297302,0.25
New Recording 31,qwen2.5_3b,New Recording 31_qwen2.5_3b.txt,0.2559694364851958,0.2559694364851958,0.23777777777777778,0.057906458797327386,0.11777777777777779,1.0,0.809137761592865,0.0
New Recording 31,deepseek-r1,New Recording 31_deepseek-r1.txt,0.04189636163175304,0.04189636163175304,0.03337612323491656,0.0,0.025673940949935817,1.0,0.763389527797699,0.0
New Recording 31,gemma3_4b,New Recording 31_gemma3_4b.txt,0.19558964525407474,0.19558964525407474,0.18850574712643675,0.07142857142857142,0.12183908045977011,1.0,0.7855289578437805,0.4
New Recording 28,llama3.2_3b,New Recording 28_llama3.2_3b.txt,0.2212962962962963,0.2212962962962963,0.24055348589675357,0.08737346830047948,0.13624268227780734,1.0,0.7908703088760376,0.6250000000000001
New Recording 28,qwen2.5_3b,New Recording 28_qwen2.5_3b.txt,0.2020497803806735,0.2020497803806735,0.18423973362930077,0.08333333333333333,0.10099889012208656,1.0,0.782049834728241,0.5
New Recording 28,deepseek-r1,New Recording 28_deepseek-r1.txt,0.09947643979057591,0.09947643979057591,0.1115727002967359,0.035650623885918005,0.060534124629080116,1.0,0.7811596989631653,0.30769230769230765
New Recording 28,gemma3_4b,New Recording 28_gemma3_4b.txt,0.24333925399644757,0.24333925399644757,0.2609603340292276,0.11180773249738768,0.16910229645093947,1.0,0.7830488085746765,0.6250000000000001
New Recording 40,llama3.2_3b,New Recording 40_llama3.2_3b.txt,0.2748015873015873,0.2748015873015873,0.29948364888123924,0.1160252728317059,0.18473895582329317,1.0,0.7878101468086243,0.5882352941176471
New Recording 40,qwen2.5_3b,New Recording 40_qwen2.5_3b.txt,0.2845849802371542,0.2845849802371542,0.28998849252013814,0.11635944700460829,0.15995397008055234,1.0,0.7936084866523743,0.6666666666666666
New Recording 40,deepseek-r1,New Recording 40_deepseek-r1.txt,0.16525634644101544,0.16525634644101544,0.17815741305674193,0.061087354917532075,0.10494203782794387,1.0,0.7582290768623352,0.7142857142857143
New Recording 40,gemma3_4b,New Recording 40_gemma3_4b.txt,0.056558363417569195,0.056558363417569195,0.07242339832869081,0.034867503486750356,0.0584958217270195,1.0,0.7629015445709229,0.36363636363636365
New Recording 43,gemma3_4b,New Recording 43_gemma3_4b.txt,0.2541222114451988,0.2541222114451988,0.22727272727272727,0.07913669064748201,0.14354066985645933,1.0,0.7730984091758728,0.4444444444444445
New Recording 43,qwen2.5_3b,New Recording 43_qwen2.5_3b.txt,0.35333333333333333,0.35333333333333333,0.30255402750491156,0.06496062992125985,0.1394891944990177,1.0,0.7977221608161926,0.42857142857142855
New Recording 43,llama3.2_3b,New Recording 43_llama3.2_3b.txt,0.02509410288582183,0.02509410288582183,0.01199400299850075,0.0,0.01199400299850075,1.0,0.7522804141044617,0.0
New Recording 43,deepseek-r1,New Recording 43_deepseek-r1.txt,0.17561983471074383,0.17561983471074383,0.138442521631644,0.007434944237918215,0.07169344870210137,1.0,0.7767396569252014,0.0
New Recording 42,deepseek-r1,New Recording 42_deepseek-r1.txt,0.2301994301994302,0.2301994301994302,0.2356202356202356,0.08466342817487855,0.1191961191961192,1.0,0.7806541919708252,0.6153846153846153
New Recording 42,qwen2.5_3b,New Recording 42_qwen2.5_3b.txt,0.35516888433981575,0.35516888433981575,0.34466019417475724,0.12393681652490886,0.1941747572815534,1.0,0.79681795835495,0.6666666666666667
New Recording 42,llama3.2_3b,New Recording 42_llama3.2_3b.txt,0.28877551020408165,0.28877551020408165,0.32170542635658916,0.11772315653298839,0.18992248062015502,1.0,0.7959684729576111,0.6153846153846153
New Recording 42,gemma3_4b,New Recording 42_gemma3_4b.txt,0.2964989059080963,0.2964989059080963,0.3011176857330703,0.13298222514812377,0.2222222222222222,1.0,0.7776110172271729,0.6666666666666666
New Recording 35,deepseek-r1,New Recording 35_deepseek-r1.txt,0.08816705336426914,0.08816705336426914,0.10469798657718121,0.021534320323014805,0.0563758389261745,1.0,0.8090931177139282,0.6666666666666665
New Recording 35,gemma3_4b,New Recording 35_gemma3_4b.txt,0.046296296296296294,0.046296296296296294,0.05486968449931413,0.02200825309491059,0.05486968449931413,1.0,0.7741633653640747,0.28571428571428575
New Recording 35,qwen2.5_3b,New Recording 35_qwen2.5_3b.txt,0.21856866537717606,0.21856866537717606,0.22247972190034762,0.05807200929152149,0.12746234067207418,1.0,0.7982659339904785,0.6666666666666666
New Recording 35,llama3.2_3b,New Recording 35_llama3.2_3b.txt,0.3860811930405965,0.3860811930405965,0.31641791044776124,0.08973080757726819,0.18905472636815918,1.0,0.8016570806503296,0.6666666666666666
AVERAGE,deepseek-r1,,0.15921113444445278,0.15921113444445278,0.15936346559899528,0.03872328664959032,0.0839331102380519,1.0,0.7774058610200882,0.45171661671661667
AVERAGE,gemma3_4b,,0.17857066567045093,0.17857066567045093,0.1835097582810134,0.07008347109847643,0.11969884881253057,1.0,0.7773765325546265,0.47401345386639504
AVERAGE,llama3.2_3b,,0.2536850214467107,0.2536850214467107,0.2580624225760501,0.082514981221621,0.14720896245297935,1.0,0.7891098529100418,0.5756564269064268
AVERAGE,qwen2.5_3b,,0.2766984137950694,0.2766984137950694,0.2696432071769193,0.0899334772885943,0.13822791324720982,1.0,0.7940525621175766,0.5467501942501942
